,タイム,上り,人気,備考,単勝,厩舎ｺﾒﾝﾄ,性齢,斤量,枠番,着差,着順,調教師,調教ﾀｲﾑ,賞金(万円),通過,馬主,馬体重,馬名,馬番,騎手,ﾀｲﾑ指数,場所,レース名,コース,天候,地面,発走
0,1:12.3,37.7,2,,3.4,,牡3,54,7,,1,[東]伊藤伸一,,510.0,1-1,田頭勇貴,454(-6),ドラゴンズバック,14,木幡育也,**,中山,3歳未勝利,ダ右1200m ,曇 ,稍重 ,10
1,1:12.7,37.5,1,,2.0,,牡3,56,3,2.1/2,2,[東]田島俊明,,200.0,6-6,ＹＧＧホースクラブ,476(0),スターファイター,6,マーフィ,**,中山,3歳未勝利,ダ右1200m ,曇 ,稍重 ,10
2,1:12.7,37.8,7,,26.9,,牡3,56,1,クビ,3,[東]和田雄二,,130.0,2-2,益田修一,448(+2),イデアイホマジョル,2,丸山元気,**,中山,3歳未勝利,ダ右1200m ,曇 ,稍重 ,10
3,1:12.9,37.9,3,,6.4,,牡3,56,7,1,4,[東]古賀史生,,77.0,5-3,鈴木康弘,520(0),ソラン,13,吉田豊,**,中山,3歳未勝利,ダ右1200m ,曇 ,稍重 ,10
4,1:13.5,37.6,4,,15.2,,牡3,56,6,3.1/2,5,[東]水野貴広,,51.0,12-11,コスモヴューファーム,446(-2),グランドストローク,11,武藤雅,**,中山,3歳未勝利,ダ右1200m ,曇 ,稍重 ,10
5,1:13.6,38.5,6,,26.6,,牝3,53,4,3/4,6,[東]相沢郁,,,6-7,石瀬浩三,466(+16),キク,8,野中悠太,**,中山,3歳未勝利,ダ右1200m ,曇 ,稍重 ,10
6,1:13.7,38.8,8,,27.9,,牡3,56,2,3/4,7,[東]清水英克,,,2-3,上野直樹,482(-6),コッヘル,4,津村明秀,**,中山,3歳未勝利,ダ右1200m ,曇 ,稍重 ,10
7,1:13.8,37.5,16,,601.4,,牡3,56,6,クビ,8,[東]武市康男,,,13-13,西村新一郎,468(+2),キリシマダイオウ,12,菅原隆一,**,中山,3歳未勝利,ダ右1200m ,曇 ,稍重 ,10
8,1:13.8,38.7,9,,33.8,,牡3,56,5,クビ,9,[東]藤原辰雄,,,6-7,渡邊善男,456(+4),ゼンダンロマン,9,松岡正海,**,中山,3歳未勝利,ダ右1200m ,曇 ,稍重 ,10
9,1:14.0,38.4,5,,23.2,,牡3,56,3,1,10,[東]久保田貴,,,9-9,尾田信夫,436(-2),ランバダフレイバー,5,内田博幸,**,中山,3歳未勝利,ダ右1200m ,曇 ,稍重 ,10
10,1:14.6,39.1,11,,51.1,,牡3,56,4,3.1/2,11,[東]加藤士津,,,9-9,染谷幸雄,446(0),タニセンシロッコ,7,江田照男,**,中山,3歳未勝利,ダ右1200m ,曇 ,稍重 ,10
11,1:14.7,38.3,14,,165.0,,牡3,56,8,1/2,12,[東]的場均,,,13-13,森中蕃,482(+2),シゲルケレス,15,的場勇人,**,中山,3歳未勝利,ダ右1200m ,曇 ,稍重 ,10
12,1:14.7,39.9,13,,114.1,,牡3,56,2,クビ,13,[東]畠山吉宏,,,2-3,河原義宏,504(+10),キンバーライト,3,ミナリク,**,中山,3歳未勝利,ダ右1200m ,曇 ,稍重 ,10
13,1:14.8,37.8,12,,87.3,,牡3,56,5,1/2,14,[東]加藤和宏,,,16-16,平本敏夫,522(0),ミスターサスケ,10,横山和生,**,中山,3歳未勝利,ダ右1200m ,曇 ,稍重 ,10
14,1:14.8,39.2,10,,40.4,,牡3,56,8,ハナ,15,[東]和田雄二,,,9-11,ターフ・スポート,466(+2),グランバル,16,大野拓弥,**,中山,3歳未勝利,ダ右1200m ,曇 ,稍重 ,10
15,1:15.0,38.2,15,,221.2,,牡3,55,1,1.1/4,16,[東]佐藤吉勝,,,15-15,スピードファーム,474(+16),ソリスト,1,菊沢一樹,**,中山,3歳未勝利,ダ右1200m ,曇 ,稍重 ,10
0,1:56.9,38.9,2,,3.1,,牝3,54,6,,1,[東]上原博之,,510.0,3-3-3-2,成塚清志,442(+4),ナリノクリスティー,10,Ｍ．デム,**,中山,3歳未勝利,ダ右1800m ,曇 ,稍重 ,10
1,1:57.6,39.2,4,,5.9,,牝3,54,5,4,2,[東]中舘英二,,200.0,6-7-6-4,吉岡輝美,434(+8),タッシーアレッタ,8,松岡正海,**,中山,3歳未勝利,ダ右1800m ,曇 ,稍重 ,10
2,1:57.7,39.5,3,,5.6,,牝3,54,8,3/4,3,[東]高市圭二,,130.0,5-5-4-4,栗本博晴,480(-2),クリノテルチャン,14,横山和生,**,中山,3歳未勝利,ダ右1800m ,曇 ,稍重 ,10
3,1:58.1,40.4,1,,3.0,,牝3,54,5,2.1/2,4,[東]奥平雅士,,77.0,2-2-1-1,了徳寺健二ホールディングス,424(-2),ナーシサステソーロ,7,武藤雅,**,中山,3歳未勝利,ダ右1800m ,曇 ,稍重 ,10
4,1:58.5,40.1,5,,7.9,,牝3,54,7,2.1/2,5,[東]大竹正博,,51.0,8-8-6-6,社台レースホース,450(-4),ダンスグルーヴィ,12,田辺裕信,**,中山,3歳未勝利,ダ右1800m ,曇 ,稍重 ,10
5,1:59.4,40.9,7,,25.8,,牝3,54,6,5,6,[東]加藤士津,,,6-6-8-8,吉田和美,482(+6),カリカンテ,9,津村明秀,**,中山,3歳未勝利,ダ右1800m ,曇 ,稍重 ,10
6,1:59.5,41.8,13,,206.8,,牝3,54,1,3/4,7,[東]高橋義博,,,1-1-2-2,北所直人,426(-12),キタノエスポワール,1,的場勇人,**,中山,3歳未勝利,ダ右1800m ,曇 ,稍重 ,10
7,1:59.6,39.6,8,,89.5,,牝3,54,4,1/2,8,[東]根本康広,,,14-14-14-13,平賀久枝,474(-2),ドリームロマン,5,丸山元気,**,中山,3歳未勝利,ダ右1800m ,曇 ,稍重 ,10
8,1:59.7,40.9,10,,110.4,,牝3,53,3,クビ,9,[東]根本康広,,,8-8-9-8,原村正紀,408(-2),エコロダンサー,3,野中悠太,**,中山,3歳未勝利,ダ右1800m ,曇 ,稍重 ,10
9,1:59.7,40.3,11,,166.8,,牝3,54,8,ハナ,10,[東]竹内正洋,,,8-10-11-11,下河辺隆行,464(-6),バイオレットモーヴ,13,木幡巧也,**,中山,3歳未勝利,ダ右1800m ,曇 ,稍重 ,10
10,2:00.1,41.0,6,,19.3,,牝3,54,7,2.1/2,11,[東]中野栄治,,,11-11-10-10,カタオカファーム,448(-8),キーリア,11,大野拓弥,**,中山,3歳未勝利,ダ右1800m ,曇 ,稍重 ,10
11,2:00.3,40.7,14,,318.4,,牝3,53,2,1.1/4,12,[東]柄崎孝,,,11-11-12-11,村田滋,386(-4),ヴァンタンジェンヌ,2,菊沢一樹,**,中山,3歳未勝利,ダ右1800m ,曇 ,稍重 ,10
12,2:00.5,40.9,12,,179.6,,牝3,52,4,1.1/4,13,[東]畠山吉宏,,,11-11-12-13,星加浩一,464(-2),イッツエルメス,6,木幡育也,**,中山,3歳未勝利,ダ右1800m ,曇 ,稍重 ,10
13,2:01.2,43.0,9,,99.8,,牝3,54,3,4,14,[東]水野貴広,,,3-3-4-7,吉田千津,426(+12),ヴィルベル,4,武士沢友,**,中山,3歳未勝利,ダ右1800m ,曇 ,稍重 ,10
0,1:55.5,39.1,5,,10.2,,牡3,56,8,,1,[東]稲垣幸雄,,510.0,7-6-6-6,陳立文,470(-2),サニートーク,12,Ｍ．デム,**,中山,3歳未勝利,ダ右1800m ,曇 ,稍重 ,11
1,1:55.6,39.7,2,,4.0,,牡3,56,5,3/4,2,[東]奥村武,,200.0,2-2-2-1,猪熊広次,470(0),オーシャンバローズ,5,マーフィ,**,中山,3歳未勝利,ダ右1800m ,曇 ,稍重 ,11
2,1:55.9,39.7,4,,6.3,,牡3,56,4,1.3/4,3,[東]黒岩陽一,,130.0,2-2-4-4,澤田孝之,496(+6),ヒロキング,4,内田博幸,**,中山,3歳未勝利,ダ右1800m ,曇 ,稍重 ,11
3,1:55.9,39.8,1,,2.3,,牡3,56,7,ハナ,4,[東]栗田徹,,77.0,5-5-4-4,山口功一郎,468(-6),ミスターサンド,10,田辺裕信,**,中山,3歳未勝利,ダ右1800m ,曇 ,稍重 ,11
4,1:56.2,39.9,6,,23.6,,牡3,56,5,1.3/4,5,[東]佐藤吉勝,,51.0,8-6-6-6,片岡正雄,462(0),トキメキナイス,6,江田照男,**,中山,3歳未勝利,ダ右1800m ,曇 ,稍重 ,11
5,1:56.3,39.7,10,,162.2,,牡3,56,2,クビ,6,[東]相沢郁,,,12-12-8-8,高橋勉,526(-8),エメラルホープ,2,石橋脩,**,中山,3歳未勝利,ダ右1800m ,曇 ,稍重 ,11
6,1:56.6,39.9,11,,220.2,,牝3,54,1,2,7,[東]水野貴広,,,10-9-9-8,ビッグレッドファーム,456(0),アウティスタ,1,武藤雅,**,中山,3歳未勝利,ダ右1800m ,曇 ,稍重 ,11
7,1:56.6,40.7,3,,4.7,,牡3,56,8,アタマ,8,[東]中舘英二,,,2-2-2-2,佐野信幸,532(-4),ジーマックス,11,松岡正海,**,中山,3歳未勝利,ダ右1800m ,曇 ,稍重 ,11
8,1:56.8,41.1,9,,114.4,,牡3,56,3,1,9,[東]池上昌和,,,1-1-1-2,ラ・メール,482(+2),エスペルト,3,北村宏司,**,中山,3歳未勝利,ダ右1800m ,曇 ,稍重 ,11
9,1:56.9,40.2,8,,104.7,,牡3,56,6,3/4,10,[東]新開幸一,,,10-11-9-10,中村祐子,452(+4),キヨセ,7,木幡巧也,**,中山,3歳未勝利,ダ右1800m ,曇 ,稍重 ,11
10,1:59.2,42.4,12,,228.3,,牡3,55,6,大,11,[東]深山雅史,,,5-6-9-11,北所直人,486(-2),ペイシャジャングル,8,菊沢一樹,**,中山,3歳未勝利,ダ右1800m ,曇 ,稍重 ,11
11,1:59.3,42.4,7,,25.2,,牡3,56,7,3/4,12,[東]矢野英一,,,9-9-12-11,西山茂行,498(-2),ニシノハヤシゲル,9,ミナリク,**,中山,3歳未勝利,ダ右1800m ,曇 ,稍重 ,11
0,1:12.3,36.6,7,,18.5,,牝3,54,8,,1,[東]栗田徹,,600.0,4-4,ゴドルフィン,480(0),ブランクチェック,16,大野拓弥,**,中山,3歳新馬,ダ右1200m ,晴 ,稍重 ,11
1,1:12.3,36.9,1,,2.5,,牡3,56,7,クビ,2,[西]中内田充,,240.0,3-2,石川達絵,480(0),マックス,13,津村明秀,**,中山,3歳新馬,ダ右1200m ,晴 ,稍重 ,11
2,1:12.4,37.2,5,,15.9,,牝3,54,6,3/4,3,[東]伊藤圭三,,150.0,1-1,ゴドルフィン,500(0),ブルーミスト,11,田辺裕信,**,中山,3歳新馬,ダ右1200m ,晴 ,稍重 ,11
3,1:13.2,37.0,4,,7.2,,牡3,56,3,5,4,[東]上原博之,,90.0,6-5,シルクレーシング,462(0),シャークスコーブ,6,Ｍ．デム,**,中山,3歳新馬,ダ右1200m ,晴 ,稍重 ,11
4,1:14.1,37.9,2,,4.8,,牝3,54,5,5,5,[東]池上昌和,,60.0,6-7,シルクレーシング,452(0),ロマーシカ,10,マーフィ,**,中山,3歳新馬,ダ右1200m ,晴 ,稍重 ,11
5,1:14.3,39.0,11,,76.5,,牡3,56,6,1.1/4,6,[東]佐藤吉勝,,,2-2,平本敏夫,502(0),ラストヘビー,12,柴田善臣,**,中山,3歳新馬,ダ右1200m ,晴 ,稍重 ,11
6,1:14.6,37.9,9,,33.8,,牡3,56,4,1.1/2,7,[東]大和田成,,,8-10,イージス,496(0),ゴーウィズザフロー,8,石橋脩,**,中山,3歳新馬,ダ右1200m ,晴 ,稍重 ,11
7,1:14.7,37.2,8,,19.7,,牝3,54,3,1/2,8,[東]高橋裕,,,13-13,西森功,466(0),ヴィーナスブレス,5,北村宏司,**,中山,3歳新馬,ダ右1200m ,晴 ,稍重 ,11
8,1:14.8,38.1,12,,83.8,,牡3,56,5,3/4,9,[西]坂口智康,,,8-9,松本好雄,454(0),メイショウウラコイ,9,ミナリク,**,中山,3歳新馬,ダ右1200m ,晴 ,稍重 ,11
9,1:14.9,38.2,14,,251.1,,牡3,56,1,1/2,10,[東]天間昭一,,,8-8,ノルマンディーサラブレッドレーシング,440(0),ザサンアップライト,2,高野和馬,**,中山,3歳新馬,ダ右1200m ,晴 ,稍重 ,11
10,1:15.0,39.0,6,,17.3,,牝3,54,8,1/2,11,[東]尾形和幸,,,5-6,岡田牧雄,458(0),マターナルラヴ,15,武藤雅,**,中山,3歳新馬,ダ右1200m ,晴 ,稍重 ,11
11,1:15.7,38.4,15,,297.3,,牝3,54,2,4,12,[東]粕谷昌央,,,11-11,小田切統二,440(0),ヒットパレード,4,宮崎北斗,**,中山,3歳新馬,ダ右1200m ,晴 ,稍重 ,11
12,1:15.7,37.4,3,,4.9,,牝3,54,1,クビ,13,[東]栗田徹,,,15-15,了徳寺健二ホールディングス,520(0),メサテソーロ,1,武豊,**,中山,3歳新馬,ダ右1200m ,晴 ,稍重 ,11
13,1:16.0,37.6,16,,340.5,,牡3,56,4,1.3/4,14,[東]浅野洋一,,,15-15,北浦博樹,426(0),ユーシオ,7,吉田豊,**,中山,3歳新馬,ダ右1200m ,晴 ,稍重 ,11
14,1:16.0,38.4,13,,166.3,,牝3,54,7,ハナ,15,[東]岩戸孝樹,,,13-14,ヒダカ・ブリーダーズ・ユニオン,444(0),スプロール,14,木幡巧也,**,中山,3歳新馬,ダ右1200m ,晴 ,稍重 ,11
15,1:16.8,39.5,10,,52.0,,牝3,54,2,5,16,[東]土田稔,,,11-11,ミルファーム,408(0),ピカンチワンラブ,3,横山和生,**,中山,3歳新馬,ダ右1200m ,晴 ,稍重 ,11
0,2:16.8,35.9,9,,13.7,,牝3,54,6,,1,[東]黒岩陽一,,510.0,7-6-1-1,ゴドルフィン,480(-8),カンバラ,11,Ｍ．デム,**,中山,3歳未勝利,芝右外2200m ,晴 ,良 ,12
1,2:17.4,36.1,6,,9.9,,牡3,56,3,3.1/2,2,[東]古賀慎明,,200.0,15-9-5-4,Ｇ１レーシング,474(-6),アルディエンテ,5,横山典弘,**,中山,3歳未勝利,芝右外2200m ,晴 ,良 ,12
2,2:17.4,35.6,2,,4.9,,牡3,56,4,ハナ,3,[東]高木登,,130.0,12-13-11-10,了徳寺健二ホールディングス,514(-2),ウシュバテソーロ,6,江田照男,**,中山,3歳未勝利,芝右外2200m ,晴 ,良 ,12
3,2:17.4,36.1,1,,4.1,,牝3,54,5,アタマ,4,[東]小島茂之,,77.0,5-4-5-4,社台レースホース,450(0),エルバルーチェ,8,田辺裕信,**,中山,3歳未勝利,芝右外2200m ,晴 ,良 ,12
4,2:17.7,35.8,4,,8.0,,牡3,56,1,2,5,[東]田中博康,,51.0,5-6-11-10,了徳寺健二ホールディングス,484(0),プモリテソーロ,1,大野拓弥,**,中山,3歳未勝利,芝右外2200m ,晴 ,良 ,12
5,2:17.9,36.4,7,,11.4,,牡3,56,4,1.1/4,6,[東]牧光二,,,9-9-7-6,半沢,478(-4),グラスデスティーノ,7,木幡巧也,**,中山,3歳未勝利,芝右外2200m ,晴 ,良 ,12
6,2:18.2,37.1,11,,132.3,,牝3,54,8,1.1/2,7,[東]古賀慎明,,,4-3-2-2,美崎光二郎,424(-4),ココリミネルヴァ,15,北村宏司,**,中山,3歳未勝利,芝右外2200m ,晴 ,良 ,12
7,2:18.3,36.8,10,,74.4,,牝3,54,6,3/4,8,[東]田中清隆,,,9-9-7-6,岡田牧雄,430(0),オルプランタン,10,ミナリク,**,中山,3歳未勝利,芝右外2200m ,晴 ,良 ,12
8,2:18.4,36.3,8,,11.8,,牡3,55,5,3/4,9,[東]菊沢隆徳,,,13-14-13-13,古賀禎彦,470(0),スプリッツァー,9,菊沢一樹,**,中山,3歳未勝利,芝右外2200m ,晴 ,良 ,12
9,2:18.6,37.0,5,,9.6,,牝3,54,7,1.1/4,10,[東]木村哲也,,,8-6-9-6,キャロットファーム,450(-2),サクライロ,12,丸山元気,**,中山,3歳未勝利,芝右外2200m ,晴 ,良 ,12
10,2:18.6,37.6,3,,5.0,,牡3,56,7,クビ,11,[東]藤沢和雄,,,2-2-2-2,多田信尊,490(0),ウインドジャマー,13,マーフィ,**,中山,3歳未勝利,芝右外2200m ,晴 ,良 ,12
11,2:18.6,37.0,12,,136.6,,牡3,56,2,ハナ,12,[東]奥村武,,,2-4-9-6,ラ・メール,438(+8),エクステンデット,2,吉田豊,**,中山,3歳未勝利,芝右外2200m ,晴 ,良 ,12
12,2:18.7,36.6,15,,384.8,,牡3,56,3,3/4,13,[東]小野次郎,,,13-14-13-13,長谷川清英,484(0),ジンフラッシュ,4,武士沢友,**,中山,3歳未勝利,芝右外2200m ,晴 ,良 ,12
13,2:19.5,37.3,14,,351.7,,牡3,54,2,5,14,[東]高橋祥泰,,,9-9-15-15,岡田繁幸,448(+2),コスモカモミール,3,木幡育也,**,中山,3歳未勝利,芝右外2200m ,晴 ,良 ,12
14,2:20.6,39.5,13,,269.6,,牝3,54,8,7,15,[東]土田稔,,,1-1-2-10,島川隆哉,456(+6),ブルークレール,14,横山和生,**,中山,3歳未勝利,芝右外2200m ,晴 ,良 ,12
0,2:08.3,35.8,3,,4.5,,牡3,56,5,,1,[東]鹿戸雄一,,600.0,2-2-2-1,社台レースホース,496(0),イマジナリーライン,9,ミナリク,**,中山,3歳新馬,芝右2000m ,曇 ,良 ,13
1,2:08.4,35.7,1,,3.1,,牝3,54,6,3/4,2,[東]尾関知人,,240.0,3-3-3-3,サンデーレーシング,474(0),ブラウローゼン,12,マーフィ,**,中山,3歳新馬,芝右2000m ,曇 ,良 ,13
2,2:08.5,34.8,7,,14.8,,牡3,56,8,3/4,3,[東]戸田博文,,150.0,13-13-10-10,ＤＭＭドリームクラブ,480(0),ハーツシンフォニー,15,柴田善臣,**,中山,3歳新馬,芝右2000m ,曇 ,良 ,13
3,2:08.6,35.3,5,,10.1,,牝3,54,8,3/4,4,[東]奥村武,,90.0,10-8-9-9,井山登,428(0),ファインアイリス,16,大野拓弥,**,中山,3歳新馬,芝右2000m ,曇 ,良 ,13
4,2:08.8,35.8,10,,59.4,,牝3,54,5,1.1/4,5,[東]相沢郁,,60.0,8-8-6-6,遠藤喜松,460(0),エドノフェリーチェ,10,津村明秀,**,中山,3歳新馬,芝右2000m ,曇 ,良 ,13
5,2:08.8,35.8,6,,12.2,,牡3,56,6,ハナ,6,[東]畠山吉宏,,,6-6-6-6,サラブレッドクラブ・ラフィアン,458(0),マイネルエルガー,11,松岡正海,**,中山,3歳新馬,芝右2000m ,曇 ,良 ,13
6,2:08.8,34.7,8,,23.4,,牡3,56,1,クビ,7,[西]松下武士,,,15-15-13-11,社台レースホース,480(0),マグニフィクス,2,石橋脩,**,中山,3歳新馬,芝右2000m ,曇 ,良 ,13
7,2:09.0,36.5,13,,109.6,,牡3,56,4,1,8,[東]宗像義忠,,,1-1-1-2,松山増男,448(0),アースブレイブ,8,田中勝春,**,中山,3歳新馬,芝右2000m ,曇 ,良 ,13
8,2:09.0,35.1,2,,4.2,,牝3,54,7,クビ,9,[西]矢作芳人,,,11-11-12-11,廣崎利洋ＨＤ,406(0),キングスタイル,13,武豊,**,中山,3歳新馬,芝右2000m ,曇 ,良 ,13
9,2:09.1,36.4,14,,234.8,,牝3,54,1,1/2,10,[東]金成貴史,,,3-4-3-3,了徳寺健二ホールディングス,400(0),アイリステソーロ,1,伊藤工真,**,中山,3歳新馬,芝右2000m ,曇 ,良 ,13
10,2:09.2,36.2,12,,94.9,,牡3,56,3,3/4,11,[東]土田稔,,,6-6-6-6,大原詔宏,424(0),アトラクトボイス,5,木幡巧也,**,中山,3歳新馬,芝右2000m ,曇 ,良 ,13
11,2:09.2,36.5,9,,45.3,,牡3,56,4,ハナ,12,[東]加藤士津,,,3-4-3-3,了徳寺健二ホールディングス,490(0),アイガーテソーロ,7,武藤雅,**,中山,3歳新馬,芝右2000m ,曇 ,良 ,13
12,2:10.8,36.3,11,,89.9,,牝3,52,2,10,13,[東]菊川正達,,,13-13-15-13,友駿ホースクラブ,406(0),ルージュカプリス,4,木幡育也,**,中山,3歳新馬,芝右2000m ,曇 ,良 ,13
13,2:11.1,37.0,4,,8.7,,牡3,56,2,2,14,[東]国枝栄,,,11-11-13-13,ＤＭＭドリームクラブ,466(0),キタノブルー,3,横山典弘,**,中山,3歳新馬,芝右2000m ,曇 ,良 ,13
14,2:12.2,38.4,16,,319.4,,牡3,55,7,7,15,[東]畠山吉宏,,,8-8-10-13,ウイン,468(0),ウインネクタル,14,野中悠太,**,中山,3歳新馬,芝右2000m ,曇 ,良 ,13
15,2:15.5,38.8,15,,297.8,,牝3,54,3,大,16,[東]和田雄二,,,16-16-16-16,チョウサン,386(0),ヤングチョウサン,6,井上敏樹,**,中山,3歳新馬,芝右2000m ,曇 ,良 ,13
0,1:53.9,37.3,1,,2.0,,牝5,55,6,,1,[東]中舘英二,,760.0,4-4-5-3,吉田和美,448(+8),メダリオンモチーフ,6,マーフィ,**,中山,4歳以上1勝クラス,ダ右1800m ,曇 ,良 ,13
1,1:53.9,37.6,2,,5.1,,牝4,53,2,アタマ,2,[東]蛯名利弘,,300.0,2-2-2-2,北所直人,424(0),ペイシャキュウ,2,野中悠太,**,中山,4歳以上1勝クラス,ダ右1800m ,曇 ,良 ,13
2,1:54.6,38.3,7,,32.2,,牝4,52,1,4,3,[東]中舘英二,,190.0,1-1-1-1,吉岡實,530(+6),シャルロッテミノル,1,木幡育也,**,中山,4歳以上1勝クラス,ダ右1800m ,曇 ,良 ,13
